,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
343,2800000,1,31.0,1,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
344,3670000,1,31.0,2,9,"Пловдивская улица, 3К2",Купчино,1800
345,7700000,1,42.0,9,12,"Приморский проспект, 52К1",Старая Деревня,1500
346,8977000,3,94.0,5,24,"бульвар Балтийский, 4",Ленинский проспект,10000
347,2886620,1,21.0,4,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
348,2864740,1,36.0,1,27,"Усть-Славянка тер., проспект Советский",Рыбацкое,10000
349,2893870,1,37.0,1,27,"Усть-Славянка тер., проспект Советский",Рыбацкое,10000
350,2884340,1,39.0,2,9,"Славянка тер., улица Ростовская",Купчино,20000
351,2850000,1,31.0,24,25,"дорога Муринская, 16к2",Академическая,15000
352,2862000,1,27.0,16,16,"проспект Металлистов, 117",Площадь Ленина,10000
353,2889000,1,21.0,2,5,"6-я Советская улица, 8",Площадь Восстания,1000
354,2942710,1,37.0,6,9,"Славянка тер., улица Ростовская",Купчино,20000
355,2900880,1,24.0,8,12,"Кубинская улица, 82к1",Московская,7000
356,2934260,1,35.0,2,11,"проспект Старорусский, 13к1",Купчино,17000
357,2929160,1,33.0,1,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
358,2925100,1,26.0,21,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
359,60000000,1,180.0,6,6,"Мытнинская набережная, 7/5",Спортивная,1300
360,2934260,1,35.0,2,11,"проспект Старорусский, 13к1",Купчино,17000
361,2929160,1,33.0,1,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
362,2925100,1,26.0,21,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
363,2938580,1,30.0,14,15,"Пулковское шоссе, 30",Московская,8000
364,2904770,1,20.0,22,23,"Октябрьская набережная, 44к2",Улица Дыбенко,25000
365,2906100,1,32.0,19,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
366,2902000,1,22.0,2,6,"Боровая улица, 11-13",Лиговский проспект,1000
367,2900000,1,25.0,16,17,"улица Среднерогатская, 20",Звёздная,1000
368,2916000,1,22.0,2,4,"Гродненский переулок, 11",Чернышевская,1000
369,9812000,3,84.0,10,10,"улица Парфеновская, 9к1",Фрунзенская,1000
370,211440000,6,352.0,8,8,"Вязовая улица, 8",Крестовский остров,1500
371,8100000,3,58.0,4,4,"проспект Обуховской обороны, 13",Площадь Александра Невского,1000
372,2950150,1,25.0,25,25,"Усть-Славянка тер., проспект Советский",Рыбацкое,10000
373,2974840,1,34.0,3,11,"проспект Старорусский, 13к1",Купчино,17000
374,2968950,1,38.0,2,11,"проспект Старорусский, 13к1",Купчино,17000
375,2963440,1,36.0,4,11,"проспект Старорусский, 13к1",Купчино,17000
376,2950140,1,25.0,25,25,"Усть-Славянка тер., проспект Советский",Рыбацкое,10000
377,2952400,1,27.0,16,19,"Комендантский проспект, 55к1",Комендантский проспект,10000
378,2999000,1,31.0,5,5,"Авангардная улица, 39К2",Автово,15000
379,2990000,1,27.0,6,21,"Комендантский проспект, 66к1",Комендантский проспект,10000
380,2990000,1,24.0,3,16,"проспект Маршала Блюхера, 7к1",Лесная,10000
381,3024280,1,27.0,13,18,"улица Среднерогатская, 16к2",Звёздная,5000
382,3006830,1,37.0,8,11,"проспект Старорусский, 13к1",Купчино,17000
383,3023910,1,27.0,30,32,"Усть-Славянка тер., улица Заводская",Рыбацкое,15000
384,3000000,1,28.0,10,23,"улица Русановская, 19к2",Ломоносовская,15000
385,3000000,1,28.0,10,24,"улица Русановская, 19к2",Ломоносовская,10000
386,31703000,1,91.0,2,9,"набережная Воскресенская, 30",Чернышевская,1500
387,18990000,4,100.0,17,20,"Киевская улица, 3",Фрунзенская,800
388,3006830,1,37.0,8,11,"проспект Старорусский, 13к1",Купчино,17000
389,3000000,1,28.0,10,24,"улица Русановская, 19к2",Ломоносовская,10000
390,3036040,1,34.0,1,14,"Усть-Славянка тер., проспект Советский",Рыбацкое,10000
