,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
252,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
253,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
254,1050000,1,25.0,1,2,"улица Земеца, 9",,
255,1150000,2,42.0,3,4,"Арбатская улица, 3",,
256,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
257,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
258,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
259,1550000,2,42.0,1,3,"Центральная улица, 2",,
260,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
261,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
262,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
263,1050000,1,25.0,1,2,"улица Земеца, 9",,
264,1150000,2,42.0,3,4,"Арбатская улица, 3",,
265,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
266,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
267,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
268,1880000,2,56.0,2,4,"проспект Кирова, 61",,
269,1850000,1,32.0,3,5,"улица Победы, 129",,
270,1850000,3,62.0,5,5,"улица Фестивальная, 3",,
271,1850000,2,46.0,1,3,"Крутые Ключи мкр, улица Евгения Золотухина",,
272,1850000,3,64.0,1,3,"пос. Кирзавод-6, переулок Сиреневый",,
273,1890000,1,30.0,5,5,"Черемшанская улица, 238",,
274,1850000,1,31.0,3,5,"проспект Карла Маркса, 322",,
275,1890000,1,33.0,1,5,"улица Елизарова, 36",,
276,1869000,2,48.0,3,5,"улица Батайская, 12",,
277,1853000,1,38.0,8,16,"улица Строителей, 33",,
278,1879250,1,44.0,13,24,"проспект Кирова, 399Б",,
279,1850000,1,33.0,9,9,"улица Стара Загора, 209",,
280,1870000,1,31.0,3,9,"Воронежская улица, 139",,
281,1850000,1,32.0,5,5,"проспект Кирова, 222",,
282,1550000,2,42.0,1,3,"Центральная улица, 2",,
283,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
284,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
285,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
286,1050000,1,25.0,1,2,"улица Земеца, 9",,
287,1150000,2,42.0,3,4,"Арбатская улица, 3",,
288,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
289,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
290,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
291,10200000,3,113.0,5,5,"Некрасовская улица, 94",,
292,1550000,2,42.0,1,3,"Центральная улица, 2",,
293,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
294,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
295,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
296,1050000,1,25.0,1,2,"улица Земеца, 9",,
297,1150000,2,42.0,3,4,"Арбатская улица, 3",,
298,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
299,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
300,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
301,790000,2,42.0,2,2,"улица Силаева, 11",,
302,1400000,1,30.0,3,3,"Крутые Ключи мкр, улица Евгения Золотухина",,
303,1960000,1,35.0,2,24,"м. Безымянка, Московское шоссе",Безымянка,25000
304,2220000,1,44.0,3,24,"м. Безымянка, Московское шоссе",Безымянка,25000
305,2750000,2,47.0,6,9,"проспект Кирова, 98",,
306,3200000,2,45.0,5,5,"м. Кировская, улица Свободы",Кировская,2400
307,3360000,1,40.0,11,16,"улица Братьев Коростелевых, 66",,
308,3500000,2,50.0,9,9,"улица Максима Горького, 35",,
309,3560000,2,65.0,2,24,"м. Безымянка, Московское шоссе",Безымянка,25000
310,12000000,3,127.0,7,10,"улица Алексея Толстого, 92",,
311,23000000,4,210.0,6,18,"Лесная улица, 31",Алабинская,1000
312,1550000,2,42.0,1,3,"Центральная улица, 2",,
313,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
314,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
315,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
316,1050000,1,25.0,1,2,"улица Земеца, 9",,
317,1150000,2,42.0,3,4,"Арбатская улица, 3",,
318,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
319,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
320,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
321,6150000,3,76.0,17,18,"Силовая улица, 6",,
322,3360000,1,40.0,11,16,"улица Братьев Коростелевых, 66",,
323,1550000,2,42.0,1,3,"Центральная улица, 2",,
324,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
325,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
326,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
327,1050000,1,25.0,1,2,"улица Земеца, 9",,
328,1150000,2,42.0,3,4,"Арбатская улица, 3",,
329,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
330,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
331,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
332,1550000,2,42.0,1,3,"Центральная улица, 2",,
333,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
334,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
335,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
336,1050000,1,25.0,1,2,"улица Земеца, 9",,
337,1150000,2,42.0,3,4,"Арбатская улица, 3",,
