url,adress,coordinates,salary
https://spb.hh.ru/vacancy/30337327,"Горьковская, Санкт-Петербург","59.956147, 30.318833",19
https://spb.hh.ru/vacancy/28500378,"Горьковская, Санкт-Петербург, Малая Монетная улица, 2Г","59.959147, 30.319569",19
https://spb.hh.ru/vacancy/29831470,"Девяткино, Санкт-Петербург, Главная улица","60.056562, 30.472373",19
https://spb.hh.ru/vacancy/30630628,"Звёздная, Санкт-Петербург, Звездная улица, 1","59.831679, 30.345387",19
https://spb.hh.ru/vacancy/29659209,"Звёздная, Санкт-Петербург, Звёздная улица, 1","59.831679, 30.345387",19
https://spb.hh.ru/vacancy/27788024,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1","60.008333, 30.211933",19
https://spb.hh.ru/vacancy/27300444,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1","60.008333, 30.211933",19
https://spb.hh.ru/vacancy/27788064,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1","60.008333, 30.211933",19
https://spb.hh.ru/vacancy/26508348,"Комендантский проспект, Санкт-Петербург, улица Уточкина, 4к1А","60.010929, 30.261646",19
https://spb.hh.ru/vacancy/28500393,"Крестовский остров, Санкт-Петербург, Морская набережная, 33","59.958827, 30.218742",19
https://spb.hh.ru/vacancy/30461606,"Ладожская, Санкт-Петербург, Латышских Стрелков, 31, корп.3","59.933514, 30.450741",19
https://spb.hh.ru/vacancy/28944520,"Ладожская, Санкт-Петербург, проспект Энергетиков, 8к1","59.937851, 30.434634",19
https://spb.hh.ru/vacancy/28377718,"Ленинский проспект, Санкт-Петербург, бульвар Новаторов, 11к2","59.849908, 30.268293",19
https://spb.hh.ru/vacancy/29659304,"Лесная, Санкт-Петербург, Полюстровский проспект, 84А","59.9876, 30.353903",19
https://spb.hh.ru/vacancy/30776047,"Маяковская, Санкт-Петербург, Маяковского, 3А","59.93355, 30.355897",19
https://spb.hh.ru/vacancy/30714550,"Международная, Санкт-Петербург, Софийская улица, 38к2","59.873189, 30.411054",19
https://spb.hh.ru/vacancy/30664203,"Международная, Санкт-Петербург, Софийская улица, 38к2","59.873189, 30.411054",19
https://spb.hh.ru/vacancy/30462056,"Московская, Санкт-Петербург, 2 линия, метро Московская","59.852018, 30.322399",19
https://spb.hh.ru/vacancy/30641762,"Нарвская, Санкт-Петербург, площадь Стачек, 7","59.900719, 30.27221",19
https://spb.hh.ru/vacancy/30529937,"Невский проспект, Санкт-Петербург, Думская улица, 4","59.933113, 30.328328",19
https://spb.hh.ru/vacancy/29565283,"Невский проспект, Санкт-Петербург, Думская улица, 4","59.933113, 30.328328",19
https://spb.hh.ru/vacancy/29565690,"Невский проспект, Санкт-Петербург, Думская улица, 4","59.933113, 30.328328",19
https://spb.hh.ru/vacancy/30370083,"Невский проспект, Санкт-Петербург, Михайловская ул., 1/7","59.935949, 30.330574",19
https://spb.hh.ru/vacancy/30714342,"Петроградская, Санкт-Петербург, Каменноостровский проспект, 40А","59.966106, 30.309858",19
https://spb.hh.ru/vacancy/28379845,"Приморская, Санкт-Петербург, улица Кораблестроителей","59.938752, 30.219694",19
https://spb.hh.ru/vacancy/30458294,"Приморская, Санкт-Петербург, улица Нахимова","59.941948, 30.227878",19
https://spb.hh.ru/vacancy/28334057,"Проспект Большевиков, Санкт-Петербург, улица Коллонтай, 10","59.916947, 30.452143",19
https://spb.hh.ru/vacancy/27580331,"Проспект Просвещения, Санкт-Петербург, проспект Просвещения, 19","60.052703, 30.331193",19
https://spb.hh.ru/vacancy/28407469,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",19
https://spb.hh.ru/vacancy/30199335,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",19
https://spb.hh.ru/vacancy/30385586,"Санкт-Петербург, Пролетарская, Всеволожский район, промзона Уткина Заводь, 1","59.876269, 30.514566",19
https://spb.hh.ru/vacancy/30346908,"Санкт-Петербург, Проспект Просвещения, ","60.045736, 30.369183",19
https://spb.hh.ru/vacancy/27302512,"Санкт-Петербург, Удельная, ","60.016721, 30.315895",19
https://spb.hh.ru/vacancy/30542163,"Санкт-Петербург, Чёрная речка, ","59.990237, 30.296878",19
https://spb.hh.ru/vacancy/28500376,"Чкаловская, Санкт-Петербург, Чкаловский проспект, 15/29","59.962431, 30.294012",19
https://spb.hh.ru/vacancy/30730414,"Электросила, Санкт-Петербург, Варшавская улица, 2А","59.88246, 30.314206",19
https://spb.hh.ru/vacancy/30350531,"Электросила, Санкт-Петербург, Московский проспект, 137","59.881719, 30.314673",19
https://spb.hh.ru/vacancy/30010648,"Адмиралтейская, Санкт-Петербург, Малая Морская улица, 11","59.935809, 30.312697",20
https://spb.hh.ru/vacancy/29581130,"Адмиралтейская, Санкт-Петербург, Невский проспект, 8","59.936985, 30.31488",20
https://spb.hh.ru/vacancy/29752746,"Адмиралтейская, Санкт-Петербург, Университетская набережная, 11","59.94074, 30.300246",20
https://spb.hh.ru/vacancy/30698749,"Академическая, Санкт-Петербург, Гражданский проспект, 41","60.011536, 30.397812",20
https://spb.hh.ru/vacancy/30770197,"Балтийская, Санкт-Петербург, 10-я Красноармейская улица, 22","59.912017, 30.295117",20
https://spb.hh.ru/vacancy/30543690,"Балтийская, Санкт-Петербург, Дровяная улица, 9к2Ж","59.910361, 30.291883",20
https://spb.hh.ru/vacancy/30283829,"Балтийская, Санкт-Петербург, Лермонтовский проспект, 43/1","59.914601, 30.296644",20
https://spb.hh.ru/vacancy/30718218,"Балтийская, Санкт-Петербург, Лермонтовский проспект, 43/1","59.914601, 30.296644",20
https://spb.hh.ru/vacancy/30732551,"Балтийская, Санкт-Петербург, Митрофаньевское шоссе, 10","59.898981, 30.299986",20
https://spb.hh.ru/vacancy/30546804,"Балтийская, Санкт-Петербург, Митрофаньевское шоссе, 2к2","59.90367, 30.300669",20
https://spb.hh.ru/vacancy/30371232,"Балтийская, Санкт-Петербург, набережная Обводного канала, 130","59.908534, 30.29209",20
https://spb.hh.ru/vacancy/30552118,"Балтийская, Санкт-Петербург, пр. Лермонтовский, 44","59.914033, 30.297857",20
https://spb.hh.ru/vacancy/30505067,"Балтийская, Санкт-Петербург, улица Лабутина, 24","59.917533, 30.290491",20
https://spb.hh.ru/vacancy/30573111,"Балтийская, Санкт-Петербург, улица Циолковского, 9","59.910835, 30.285586",20
https://spb.hh.ru/vacancy/28969077,"Беговая, Санкт-Петербург, Приморский проспект, 72","59.981708, 30.209894",20
https://spb.hh.ru/vacancy/30496792,"Беговая, Санкт-Петербург, улица Оптиков, 50к1","60.001181, 30.204351",20
https://spb.hh.ru/vacancy/27713018,"Бухарестская, Санкт-Петербург, Бухарестская улица, 30","59.883611, 30.36956",20
https://spb.hh.ru/vacancy/29779687,"Василеостровская, Санкт-Петербург, 10-я линия Васильевского острова, 33","59.942773, 30.272893",20
https://spb.hh.ru/vacancy/30697647,"Василеостровская, Санкт-Петербург, 13-я линия Васильевского острова, 70","59.945878, 30.264745",20
https://spb.hh.ru/vacancy/30677880,"Василеостровская, Санкт-Петербург, 3 линия, метро Василеостровская","59.942525, 30.278247",20
https://spb.hh.ru/vacancy/30592212,"Василеостровская, Санкт-Петербург, 9-я линия В.О., 34","59.941087, 30.277097",20
https://spb.hh.ru/vacancy/30621048,"Василеостровская, Санкт-Петербург, 9-я линия В.О., 34","59.941087, 30.277097",20
https://spb.hh.ru/vacancy/30621092,"Василеостровская, Санкт-Петербург, 9-я линия В.О., 34","59.941087, 30.277097",20
https://spb.hh.ru/vacancy/30621102,"Василеостровская, Санкт-Петербург, 9-я линия В.О., 34","59.941087, 30.277097",20
https://spb.hh.ru/vacancy/30592226,"Василеостровская, Санкт-Петербург, 9-я линия В.О., 34","59.941087, 30.277097",20
https://spb.hh.ru/vacancy/30085297,"Василеостровская, Санкт-Петербург, 9-я линия В.О., 34","59.941087, 30.277097",20
https://spb.hh.ru/vacancy/30730900,"Василеостровская, Санкт-Петербург, Большой проспект В.О., 80","59.930016, 30.254217",20
https://spb.hh.ru/vacancy/30564722,"Василеостровская, Санкт-Петербург, Василеостровский район","59.942525, 30.278247",20
https://spb.hh.ru/vacancy/26753777,"Василеостровская, Санкт-Петербург, Средний проспект Васильевского острова, 39","59.942318, 30.275138",20
https://spb.hh.ru/vacancy/30197568,"Василеостровская, Санкт-Петербург, Университетская набережная, 7","59.94074, 30.300246",20
https://spb.hh.ru/vacancy/30616585,"Волковская, Санкт-Петербург, Волковский проспект, 32","59.896012, 30.357496",20
https://spb.hh.ru/vacancy/30141559,"Выборгская, Санкт-Петербург, Большой Сампсониевский проспект, 60У","59.973861, 30.336547",20
https://spb.hh.ru/vacancy/30753354,"Выборгская, Санкт-Петербург, Чугунная, 14/Р","59.974185, 30.36046",20
https://spb.hh.ru/vacancy/25731608,"Горьковская, Санкт-Петербург, Малая Монетная улица, 2Г","59.959147, 30.319569",20
https://spb.hh.ru/vacancy/28500396,"Горьковская, Санкт-Петербург, Малая Монетная улица, 2Г","59.959147, 30.319569",20
https://spb.hh.ru/vacancy/25626811,"Горьковская, Санкт-Петербург, Малая Монетная улица, 2Г","59.959147, 30.319569",20
https://spb.hh.ru/vacancy/28500422,"Горьковская, Санкт-Петербург, Малая Монетная улица, 2Г","59.959147, 30.319569",20
https://spb.hh.ru/vacancy/30736936,"Гостиный двор, Санкт-Петербург, 3 линия, метро Гостиный двор","59.934064, 30.332756",20
https://spb.hh.ru/vacancy/29826267,"Гражданский проспект, Санкт-Петербург, Киришская улица, 2А","60.032969, 30.424376",20
https://spb.hh.ru/vacancy/30719978,"Гражданский проспект, Санкт-Петербург, проспект Просвещения, 80к2","60.039027, 30.409796",20
https://spb.hh.ru/vacancy/30729923,"Елизаровская, Санкт-Петербург","59.896644, 30.423774",20
https://spb.hh.ru/vacancy/30494852,"Елизаровская, Санкт-Петербург, пр. Обуховской Обороны, 70, к. 2","59.900597, 30.429577",20
https://spb.hh.ru/vacancy/30412383,"Елизаровская, Санкт-Петербург, проспект Елизарова, 34","59.892744, 30.406454",20
https://spb.hh.ru/vacancy/30646888,"Елизаровская, Санкт-Петербург, проспект Обуховской Обороны, 86Р","59.893502, 30.438892",20
https://spb.hh.ru/vacancy/30770770,"Елизаровская, Санкт-Петербург, улица Ольги Берггольц, 27","59.891308, 30.413183",20
https://spb.hh.ru/vacancy/30752520,"Елизаровская, Санкт-Петербург, улица Ольги Берггольц, 27","59.891308, 30.413183",20
https://spb.hh.ru/vacancy/30770635,"Елизаровская, Санкт-Петербург, улица Ольги Берггольц, 27","59.891308, 30.413183",20
https://spb.hh.ru/vacancy/30398572,"Кировский завод, Санкт-Петербург, Кронштадтская улица, 3к4","59.875221, 30.252905",20
https://spb.hh.ru/vacancy/30661212,"Кировский завод, Санкт-Петербург, проспект Стачек, 47","59.880518, 30.260406",20
https://spb.hh.ru/vacancy/30136962,"Комендантский проспект, Санкт-Петербург, Комендантский проспект","60.036596, 30.225758",20
https://spb.hh.ru/vacancy/28142441,"Комендантский проспект, Санкт-Петербург, Планерная улица, 49","60.017877, 30.228875",20
https://spb.hh.ru/vacancy/30698568,"Комендантский проспект, Санкт-Петербург, Планерная улица, 59","60.02222, 30.225291",20
https://spb.hh.ru/vacancy/27867984,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1","60.008333, 30.211933",20
https://spb.hh.ru/vacancy/27116548,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1","60.008333, 30.211933",20
https://spb.hh.ru/vacancy/25273721,"Комендантский проспект, Санкт-Петербург, улица Уточкина, 4к1А","60.010929, 30.261646",20
https://spb.hh.ru/vacancy/27658073,"Комендантский проспект, Санкт-Петербург, улица Уточкина, 4к1А","60.010929, 30.261646",20
https://spb.hh.ru/vacancy/30405067,"Ладожская, Санкт-Петербург, Бокситогорская улица, 9","59.945626, 30.449636",20
https://spb.hh.ru/vacancy/30765454,"Ладожская, Санкт-Петербург, Заневский проспект, 71к2литА","59.933663, 30.439",20
https://spb.hh.ru/vacancy/27250331,"Ладожская, Санкт-Петербург, Индустриальный проспект, 31","59.950956, 30.473693",20
https://spb.hh.ru/vacancy/30417358,"Ладожская, Санкт-Петербург, Ленская улица, 12","59.940528, 30.494211",20
https://spb.hh.ru/vacancy/30547617,"Ладожская, Санкт-Петербург, Магнитогорская улица, 23к1","59.939595, 30.430376",20
https://spb.hh.ru/vacancy/30386463,"Ладожская, Санкт-Петербург, проспект Косыгина, 21к1","59.944431, 30.48335",20
https://spb.hh.ru/vacancy/28978747,"Ладожская, Санкт-Петербург, проспект Косыгина, 21к1","59.944431, 30.48335",20
https://spb.hh.ru/vacancy/24134275,"Ладожская, Санкт-Петербург, проспект Энергетиков, 8к1","59.937851, 30.434634",20
https://spb.hh.ru/vacancy/29462297,"Ладожская, Санкт-Петербург, шоссе Революции, 58а","59.962363, 30.441228",20
https://spb.hh.ru/vacancy/30104575,"Ладожская, Санкт-Петербург, шоссе Революции, 68","59.961917, 30.445127",20
https://spb.hh.ru/vacancy/30648021,"Ленинский проспект, Санкт-Петербург, Ленинский проспект","59.852081, 30.238487",20
https://spb.hh.ru/vacancy/30628608,"Лесная, Санкт-Петербург, Лесной проспект, 61к1","59.983995, 30.343114",20
https://spb.hh.ru/vacancy/23257250,"Лесная, Санкт-Петербург, Львовская улица, 27","59.971204, 30.420351",20
https://spb.hh.ru/vacancy/30356865,"Лиговский проспект, Санкт-Петербург, Лиговский проспект, 153","59.914615, 30.349133",20
https://spb.hh.ru/vacancy/30481601,"Международная, Санкт-Петербург, Пражская улица, 36","59.869928, 30.397794",20
https://spb.hh.ru/vacancy/30550084,"Московская, Санкт-Петербург, Московский проспект, 212","59.852118, 30.32725",20
https://spb.hh.ru/vacancy/30475466,"Московская, Санкт-Петербург, Московский проспект, 216","59.848552, 30.322345",20
https://spb.hh.ru/vacancy/29812830,"Московская, Санкт-Петербург, Пулковское шоссе, 40к4","59.818124, 30.327897",20
https://spb.hh.ru/vacancy/29983971,"Московская, Санкт-Петербург, Стартовая улица, 5","59.81046, 30.317979",20
https://spb.hh.ru/vacancy/30005604,"Московские ворота, Санкт-Петербург, 2 линия, метро Московские ворота","59.891489, 30.31797",20
https://spb.hh.ru/vacancy/30488899,"Московские ворота, Санкт-Петербург, Заставская улица, 46к3","59.885548, 30.313074",20
https://spb.hh.ru/vacancy/30676715,"Московские ворота, Санкт-Петербург, Московский проспект, 109","59.889882, 30.318734",20
https://spb.hh.ru/vacancy/30581379,"Московские ворота, Санкт-Петербург, улица Коли Томчака, 15","59.887864, 30.324339",20
https://spb.hh.ru/vacancy/30650651,"Нарвская, Санкт-Петербург, Бумажная улица, 18А","59.906012, 30.266928",20
